source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
src/main.cpp src/kernel/utils.cu src/forward/Kernel/layer_norm.cu src/forward/Kernel/embedding.cu src/forward/Kernel/linear.cu src/forward/Kernel/attention_head.cu src/forward/Kernel/interface.cu src/backpropagation/Kernel/interface_back.cu src/backpropagation/Kernel/flash_attention.cu  , gcc (linking) , /tmp/tmpxft_00072e51_00000000-63_attention_dlink.o /tmp/tmpxft_00072e51_00000000-37_main.o /tmp/tmpxft_00072e51_00000000-40_utils.o /tmp/tmpxft_00072e51_00000000-43_layer_norm.o /tmp/tmpxft_00072e51_00000000-46_embedding.o /tmp/tmpxft_00072e51_00000000-49_linear.o /tmp/tmpxft_00072e51_00000000-52_attention_head.o /tmp/tmpxft_00072e51_00000000-55_interface.o /tmp/tmpxft_00072e51_00000000-58_interface_back.o /tmp/tmpxft_00072e51_00000000-61_flash_attention.o  , src/bin/attention ,  , nvcc , 83.3200 , ms
 , nvcc (driver) ,  , src/bin/attention ,  , nvcc , 2.7773 , ms
src/main.cpp , gcc (compiling) , src/main.cpp  , /tmp/tmpxft_00073043_00000000-37_main.o ,  , nvcc , 2987.2339 , ms
src/kernel/utils.cu , gcc (preprocessing 4) , src/kernel/utils.cu  , /tmp/tmpxft_00073043_00000000-5_utils.cpp4.ii ,  , nvcc , 160.5320 , ms
src/kernel/utils.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-5_utils.cpp4.ii  , /tmp/tmpxft_00073043_00000000-6_utils.cudafe1.cpp , compute_52 , nvcc , 789.8030 , ms
src/kernel/utils.cu , gcc (preprocessing 1) , src/kernel/utils.cu  , /tmp/tmpxft_00073043_00000000-38_utils.cpp1.ii , compute_52 , nvcc , 137.3530 , ms
src/kernel/utils.cu , cicc ,  /tmp/tmpxft_00073043_00000000-38_utils.cpp1.ii  , /tmp/tmpxft_00073043_00000000-6_utils.ptx , compute_52 , nvcc , 676.7250 , ms
src/kernel/utils.cu , ptxas , /tmp/tmpxft_00073043_00000000-6_utils.ptx  , /tmp/tmpxft_00073043_00000000-39_utils.sm_52.cubin , sm_52 , nvcc , 139.6980 , ms
src/kernel/utils.cu , fatbinary , /tmp/tmpxft_00073043_00000000-39_utils.sm_52.cubin /tmp/tmpxft_00073043_00000000-6_utils.ptx  , /tmp/tmpxft_00073043_00000000-3_utils.fatbin ,  , nvcc , 16.8350 , ms
src/kernel/utils.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-40_utils.o , compute_52 , nvcc , 683.6320 , ms
